category,topic,Key term,Notes,term,column1
Pricing,Price changes,"Pric (Prices, pricing, price) + Adjust (adjust, adjusts, adjustment, adjusted)",NA,(Prices|pricing|price)\s+(adjust|adjusts|adjustment|adjusted),
Pricing,Price changes,"Pric (Prices, pricing, price) + Action (action, actions, actioned, actioning)",NA,(Prices|pricing|price)\s+(action|actions|actioned|actioning),
Pricing,Price changes,"Pric (Prices, pricing, price) + change (change, changes, changing, changed)",NA,(Prices|pricing|price)\s+(change|changes|changing|changed),
Pricing,Consumer affordability pressure,"Afford (afford, affordable, affordability)",NA,(afford|affordable|affordability),
Pricing,Consumer affordability pressure,"Consumer (consumer, consumers, customer, customers)  + Pressur ( pressure, pressuresd, pressured, pressuring)",NA,(consumer|consumers|customer|customers)\s+(pressure|pressuresd|pressured|pressuring),
Pricing,Consumer affordability pressure,"Consumer (consumer, consumers, customer, customers)  + Challeng  (challenge, challenges, challenging, challenged)",NA,(consumer|consumers|customer|customers)\s+(challenge|challenges|challenging|challenged),
Pricing,Consumer affordability pressure,Income + discret (discretionary),NA,Income\s+(discretionary),
Pricing,Consumer affordability pressure,Spend (spending)  + discret (discretionary),NA,(spend|spending)\s+(discretionary),
Pricing,Consumer affordability pressure,"Pric (Prices, pricing, price) + Sensit (sensitive, sensitivity)",NA,(Prices|pricing|price)\s+(sensitive|sensitivity),
Pricing,Consumer affordability pressure,"Consumer + Strain (strain, strained)",NA,(consumer|consumers|customer|customers)\s+(strain|strained),
Pricing,Consumer affordability pressure,"Pric (Prices, pricing, price) +  conscious",NA,(Prices|pricing|price)\s+(conscious),
Pricing,Consumer affordability pressure,"Cost (cost, costs) + conscious",NA,(cost|costs)\s+(conscious),
Pricing,Inflation,"Inflat  (inflate, inflation, inflationary, inflated)",NA,(inflate|inflation|inflationary|inflated),
Pricing,Inflation,"Deflat (deflate, deflation, deflationary, deflated)",NA,(deflate|deflation|deflationary|deflated),
Pricing,Inflation,Staflat (stagflation),NA,(stagflation),
Pricing,Raising prices,"Pric (Prices, pricing, price) + Increas (increase, increases, increased, increasing)",NA,(Prices|pricing|price)\s+(increase|increases|increased|increasing),
Pricing,Raising prices,"Pric (Prices, pricing, price) + Rais (raise, raises, raised, raising)",NA,(Prices|pricing|price)\s+(raise|raises|raised|raising),
Tariffs,Tariff impact/costs,"Tariff (tariff, tariffs)",NA,(tariff|tariffs),
Tariffs,Tariff impact/costs,"Tariff (tariff, tariffs) + Cost (cost, costs) + absorb (absorb, absorbed, absorbing)",NA,(tariff|tariffs)\s+(cost|costs)\s+(absorb|absorbed|absorbing),
Tariffs,Tariff impact/costs,"Tariff (tariff, tariffs) + impact (impact, impacts)",NA,(tariff|tariffs)\s+(impact|impacts),
Tariffs,Tariff impact/costs,"Customs + duty  (duty, duties)",NA,Customs\s+(duty|duties),
Tariffs,Tariff impact/costs,"Tariff (tariff, tariffs) + Cost (cost, costs)",NA,(tariff|tariffs)\s+(cost|costs),
Tariffs,Trade policy,"Policy + trad (trade, trading) or (tariff, tariffs)",NA,Policy\s+(trade|trading|tariff|tariffs),
Tariffs,Trade policy,"China + trad (trade, trading) or (tariff, tariffs)",NA,China\s+(trade|trading|tariff|tariffs),
Tariffs,Trade policy,"Border + tax  (tax, taxes)",NA,Border\s+(tax|taxes),
Tariffs,Trade policy,"Border + duty  (duty, duties)",NA,Border\s+(duty|duties),
Tariffs,Trade policy,"Import (import, imports, imported, importing)",NA,(import|imports|imported|importing),
Tariffs,Trade policy,"Export (export, exports, exported, exporting)",NA,(export|exports|exported|exporting),
Tariffs,Supply chain changes,Supply  chain,NA,Supply\s+chain,
Tariffs,Supply chain changes,"Supply chain + sourc (sourcing, soource)",NA,Supply\s+chain\s+(sourcing|soource),
Tariffs,Supply chain changes,"Reshor (reshoring, reshore)",NA,(reshoring|reshore),
Tariffs,Supply chain changes,"Nearshor (nearshoring, nearshore)",NA,(nearshoring|nearshore),
Tariffs,Cost pass-through,"Tariff (tariff, tariffs) + Cost (cost, costs) + pass through",NA,(tariff|tariffs)\s+(cost|costs)\s+pass\s+through,
Tariffs,Cost pass-through,"Tariff (tariff, tariffs) + Cost (cost, costs) + pass on",NA,(tariff|tariffs)\s+(cost|costs)\s+pass\s+on,
Tariffs,Cost pass-through,"Tariff (tariff, tariffs) + Cost (cost, costs) + pass along",NA,(tariff|tariffs)\s+(cost|costs)\s+pass\s+along,
Tariffs,Cost pass-through,"Tariff (tariff, tariffs) + Pric (pricing, price)",NA,(tariff|tariffs)\s+(pricing|price),
Tariffs,Cost pass-through,"Tariff (tariff, tariffs) + Cost (cost, costs) + pass onto",NA,(tariff|tariffs)\s+(cost|costs)\s+pass\s+onto,
Consumer sentiment,Consumer spending & demand,"Consumer (consumer, consumers, customer, customers) + spend (spend, spending, spent)",NA,(consumer|consumers|customer|customers)\s+(spend|spending|spent),
Consumer sentiment,Consumer spending & demand,"Consumer (consumer, consumers, customer, customers) + spend (spend, spending, spent)",NA,(consumer|consumers|customer|customers)\s+(spend|spending|spent),
Consumer sentiment,Consumer spending & demand,"Consumer (consumer, consumers, customer, customers)  + demand",NA,(consumer|consumers|customer|customers)\s+(demand),
Consumer sentiment,Consumer spending & demand,"Consumer (consumer, consumers, customer, customers) + purchas (purchase, purchases, purchasing)",NA,(consumer|consumers|customer|customers)\s+(purchase|purchases|purchasing),
Consumer sentiment,Consumer spending & demand,Foot + traffic,NA,Foot\s+traffic,
Consumer sentiment,Consumer confidence & sentiment,"Consumer (consumer, consumers, customer, customers)  + confiden (confidence, confident)",NA,(consumer|consumers|customer|customers)\s+(confidence|confident),
